rank	URI	name	Linked Institution	P	P_top	PP_top
221	http://dbpedia.org/resource/University_of_South_Carolina	University of South Carolina	University of South Carolina	2846	321	11,3%
222	http://dbpedia.org/resource/University_of_Mainz	Johannes Gutenberg Univ Mainz	Johannes Gutenberg Univ Mainz	3311	372	11,2%
223	http://dbpedia.org/resource/University_of_Ulm	University of Ulm	University of Ulm	2432	273	11,2%
224	http://dbpedia.org/resource/Medical_University_of_Vienna	Medical University of Vienna	Medical University of Vienna	3315	372	11,2%
225	http://dbpedia.org/resource/University_of_Cologne	University of Cologne	University of Cologne	3139	351	11,2%
226	http://dbpedia.org/resource/Rush_Medical_College	Rush University	Rush University	1499	167	11,2%
227	http://dbpedia.org/resource/University_of_Miami	University of Miami	University of Miami	4737	529	11,2%
228	http://dbpedia.org/resource/University_of_Calgary	University of Calgary	University of Calgary	5736	640	11,2%
229	http://dbpedia.org/resource/University_of_Erlangen-Nuremberg	Friedrich-Alexander-Universität Erlangen-Nürnberg	Friedrich-Alexander-Universität Erlangen-Nürnberg	4811	536	11,1%
230	http://dbpedia.org/resource/University_of_Gothenburg	University of Gothenburg	University of Gothenburg	4023	447	11,1%
231	http://dbpedia.org/resource/San_Diego_State_University	San Diego State University	San Diego State University	1415	157	11,1%
232	http://dbpedia.org/resource/RWTH_Aachen_University	RWTH Aachen University	RWTH Aachen University	4356	483	11,1%
233	http://dbpedia.org/resource/Karlsruhe_Institute_of_Technology	Karlsruhe Institute of Technology	Karlsruhe Institute of Technology	3769	417	11,1%
234	http://dbpedia.org/resource/Brunel_University	Brunel University	Brunel University	1193	132	11,0%
235	http://dbpedia.org/resource/Universit%C3%A9_de_Sherbrooke	Université de Sherbrooke	Université de Sherbrooke	1705	188	11,0%
236	http://dbpedia.org/resource/University_of_Texas_Medical_Branch	University of Texas Medical Branch at Galveston	University of Texas Medical Branch at Galveston	1785	197	11,0%
